Reviewer Username,Date of review,Comment
_rayme_,2021-08-09 23:06:50,barang sampai dalam keadaan yang baik & berfungsi dengan baik. delivery pun amik masa 3 hari memang terbaik. mantap !!! thank you seller !
auteur177,2023-10-04 02:34:40,"Performance:great

terbaek pnya mouse, cons: mouse yg ni still pakai micro usb. ;( nk beli superlight tpi lari budget. overall all good baby"
z*****4,2023-02-15 17:45:25,"Performance:very good

The mouse came in good condition, all buttons work fine. However there are a few dents on the box. But all in all everything works and looks great. 5 stars from me."
areysimu,2023-03-14 21:36:05,The package is well wrapped. Easy to setup with given instructions in the box. Performance is pretty good and it’s really light.
i*****1,2022-09-07 19:17:07,"First of all, it is an excellent product for me, would give a 100 out of 10 for tis mouse😂 It was a huge diff from 30 bucks mouse to a 600 bucks mouse. 

Have tried few match of Apex and couldn’t lie it rlly works great on controlling and clicking. Satisfied with tis new toy 🤍🤍🤍"
hanafiaabri36,2023-03-07 12:29:22,Item receive in a good condition!! Really recommend this seller and this mouse is super amazing
b*****1,2021-05-08 20:31:21,"Great quality, authentic product. Fast delivery, took 3 days to arrive. Insanely light."
d*****n,2022-07-14 16:00:43,"Looks great, feels great! It is so light and comfortable to grip on. Easily an apex predator with this mouse and easy headshot for any fps games. Top quality

Although arrived a week late since ordered, box has barely a dent. Mouse is in pristine condition. A solid 10 out of 10 for me."
j*****o,2023-01-14 18:38:42,"Performance:Good shit

Came in 3 days, insane delivery speed
Box was slightly dent but contents are undamaged

100% original, works with Logitech G Hub"
d*****t,2021-09-13 09:31:39,"- Great price. Delivery could be faster. Well wrapped.

Pros: Mouse feels premium despite being superlight, very smooth.
Cons: Micro-USB. Black grip tape looks weird on white mouse.

Logitech GHub keeps going to sleep after idling, and takes a sec to resume.
Better to use on-board memory mode."
misifts,2023-09-28 21:58:19,"Performance:the best mice i’ve ever use

Very helpful and fast respond seller. Definitely will buy from here again."
a*****i,2022-05-08 13:03:22,"Delivery laju, barang selamat xde calar dan rosak. Mouse pakai terus rasa mcm pro."
lapetitemort,2021-02-23 16:11:19,Order yesterday and already got it today's morning. Great service prompt delivery and best quality product. Love itt
salahsalem133,2022-11-25 08:55:56,"Performance:perfect

Nice mouse recommended for competitive games and good for playing with it it’s light and quick response time."
s*****i,2023-06-17 20:43:48,"Performance:fast delivery ❤️

Thank you. Original mouse. 
Cheaper price than others shop."
linkernteh,2024-01-03 17:39:51,Very good quality product and fast delivery .The packaging is great
aeronfoo,2021-04-08 14:49:33,"Oh yeah, worth the money and very friendly seller 👍 
Fast delivery as well, going to buy Superlight once its restock soon"
cavindefray,2021-06-18 14:34:26,"Packaging di wrapped dgn baik, performance mouse sgt  bagus. Recommended👍🏻"
t*****s,2023-01-30 16:18:46,"Performance:The best gaming mouse

Its the perfect weight and size for a gaming mouse in my opinion!"
cutejiminco,2022-05-30 14:40:32,"SUPER SUPER light 
Super-smooth mousing
No double click
Delivery was quite fast, it took around 3 days"
just_tech,2021-06-05 18:09:52,"Beautiful mouse
Simple and nice
Helpful seller, answers all my questions 
Thank you 🙏🏻"
huskytooth,2023-11-15 13:08:05,"Performance:as advertised

Original model, can connect to logitech g hub software, can do customization, packaging well kept"
